#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,6749,0.9986509107733881,-42.0,6750.0,0.0,0.0,4.091,2024-03-12T06:58:17
1,5508,0.9975513028408388,-16.0,6129.0,0.0,0.0,3.168,2024-03-12T06:58:20
2,6044,0.9963460916478938,-5.0,6100.667,2.251,0.068,26.671,2024-03-12T06:58:47
3,6749,0.9950019318696602,-9.75,6263.0,3.279,0.097,31.469,2024-03-12T06:59:19
4,6749,0.9936595854829028,-5.0,6360.4,3.898,0.12,31.542,2024-03-12T06:59:50
5,6749,0.9923190500411956,-9.5,6425.333,4.395,0.131,31.605,2024-03-12T07:00:22
6,6749,0.9909803231014139,-9.857,6471.714,4.753,0.136,31.942,2024-03-12T07:00:54
7,6749,0.9896434022237237,-9.5,6506.5,5.108,0.138,31.502,2024-03-12T07:01:25
8,6470,0.9883635329516145,-10.889,6502.444,5.425,0.14,52.12,2024-03-12T07:02:17
9,6075,0.9871633017115202,-11.0,6459.7,5.666,0.142,48.026,2024-03-12T07:03:05
10,6749,0.9858315303362652,-10.2,6459.7,6.458,0.158,36.643,2024-03-12T07:03:42
11,6749,0.9845015556394222,-12.4,6583.9,7.237,0.174,48.873,2024-03-12T07:04:31
12,6749,0.9831733751971177,-14.2,6654.5,7.337,0.172,39.535,2024-03-12T07:05:10
13,6749,0.9818469865887371,-14.6,6654.5,7.472,0.172,30.569,2024-03-12T07:05:41
14,6749,0.980522387396937,-19.0,6654.5,7.607,0.17,27.084,2024-03-12T07:06:08
15,6749,0.9791995752076389,-17.8,6654.5,7.705,0.172,30.046,2024-03-12T07:06:38
16,6749,0.9778785476100131,-15.8,6654.5,7.81,0.174,26.732,2024-03-12T07:07:05
17,6749,0.9765593021964891,-17.7,6654.5,7.871,0.178,25.936,2024-03-12T07:07:31
18,6749,0.9752418365627367,-16.7,6682.5,7.892,0.182,25.843,2024-03-12T07:07:57
19,6749,0.9739261483076783,-17.7,6750.0,7.93,0.186,27.962,2024-03-12T07:08:25
20,6749,0.9726122350334698,-14.7,6750.0,7.966,0.191,27.401,2024-03-12T07:08:52
21,6749,0.9713000943455085,-12.5,6750.0,8.012,0.196,25.75,2024-03-12T07:09:18
22,6749,0.9699897238524092,-14.6,6750.0,8.039,0.2,26.443,2024-03-12T07:09:44
23,6749,0.9686811211660217,-15.3,6750.0,8.062,0.203,25.602,2024-03-12T07:10:10
24,6749,0.9673742839014223,-14.0,6750.0,8.085,0.208,26.413,2024-03-12T07:10:36
25,6749,0.9660692096768996,-14.7,6750.0,8.1,0.213,26.135,2024-03-12T07:11:02
