#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,6999,0.998600979473672,-2.0,7000.0,0.0,0.0,3.949,2024-03-13T02:48:57
1,6999,0.9972039162057673,-15.0,7000.0,1.393,-0.237,10.387,2024-03-13T02:49:07
2,5877,0.9960323916427718,-11.333,6625.667,1.874,-0.282,33.749,2024-03-13T02:49:41
3,6863,0.9946660758965212,-12.0,6685.0,2.114,-0.27,31.047,2024-03-13T02:50:12
4,5282,0.9936157660592417,-19.2,6404.4,2.211,-0.27,22.334,2024-03-13T02:50:34
5,6999,0.9922256772072281,-21.833,6503.667,2.269,-0.269,26.802,2024-03-13T02:51:01
6,6821,0.9908729066511529,-24.143,6549.0,2.297,-0.264,25.916,2024-03-13T02:51:27
7,6999,0.9894866551157553,-23.375,6605.375,2.305,-0.258,26.695,2024-03-13T02:51:54
8,6480,0.9882050121467943,-23.889,6591.444,2.31,-0.252,26.565,2024-03-13T02:52:20
9,6999,0.9868224930505796,-20.6,6632.3,2.316,-0.25,27.734,2024-03-13T02:52:48
10,6999,0.9854419081269495,-22.1,6632.3,2.555,-0.274,26.512,2024-03-13T02:53:15
11,6999,0.984063254669967,-20.7,6632.3,2.512,-0.249,26.607,2024-03-13T02:53:41
12,5625,0.982956707652145,-22.7,6607.1,2.458,-0.234,22.392,2024-03-13T02:54:04
13,6999,0.9815815310416383,-23.9,6620.8,2.407,-0.233,27.667,2024-03-13T02:54:31
14,6999,0.9802082783314342,-22.5,6792.6,2.377,-0.229,27.29,2024-03-13T02:54:59
15,6999,0.9788369468299629,-20.1,6792.6,2.351,-0.225,28.632,2024-03-13T02:55:27
16,6999,0.9774675338494097,-18.5,6810.5,2.334,-0.221,27.254,2024-03-13T02:55:55
17,6999,0.9761000367057263,-16.5,6810.5,2.328,-0.219,28.083,2024-03-13T02:56:23
18,6538,0.9748244248652024,-17.7,6816.3,2.316,-0.217,25.276,2024-03-13T02:56:48
19,6999,0.9734606254852394,-22.4,6816.3,2.297,-0.211,26.08,2024-03-13T02:57:14
20,6999,0.9720987340886033,-20.9,6816.3,2.272,-0.206,25.851,2024-03-13T02:57:40
21,6999,0.9707387480059884,-24.3,6816.3,2.253,-0.204,26.255,2024-03-13T02:58:06
22,6103,0.9695544901165651,-23.1,6864.1,2.235,-0.204,25.539,2024-03-13T02:58:32
23,6772,0.9682421174997761,-21.5,6841.3,2.213,-0.203,25.274,2024-03-13T02:58:57
24,6999,0.9668875269029275,-21.9,6841.3,2.185,-0.201,26.238,2024-03-13T02:59:23
25,6999,0.965534831406125,-24.8,6841.3,2.158,-0.201,25.832,2024-03-13T02:59:49
26,6191,0.9643399495290795,-26.4,6760.4,2.131,-0.203,22.902,2024-03-13T03:00:12
27,5857,0.9632108867000271,-29.0,6646.1,2.105,-0.205,21.961,2024-03-13T03:00:34
28,6999,0.9618633348983391,-24.6,6692.3,2.086,-0.208,26.362,2024-03-13T03:01:00
29,6999,0.9605176683492828,-20.2,6692.3,2.081,-0.211,29.131,2024-03-13T03:01:29
30,6999,0.9591738844153537,-21.0,6692.3,2.088,-0.214,26.958,2024-03-13T03:01:56
31,6348,0.9579567941073857,-16.4,6627.1,2.091,-0.217,25.378,2024-03-13T03:02:22
32,6094,0.9567898518507522,-18.0,6626.2,2.095,-0.22,23.911,2024-03-13T03:02:46
33,6932,0.9554641818886472,-21.5,6642.2,2.106,-0.222,28.259,2024-03-13T03:03:14
34,5847,0.9543474196267052,-21.1,6526.9,2.129,-0.225,22.381,2024-03-13T03:03:36
35,6999,0.953012267997389,-20.8,6526.9,2.153,-0.225,27.272,2024-03-13T03:04:03
36,6999,0.9516789842726059,-18.4,6607.8,2.175,-0.222,28.062,2024-03-13T03:04:32
37,5696,0.9505953537595507,-20.2,6591.7,2.205,-0.22,22.088,2024-03-13T03:04:54
38,6999,0.9492654513473998,-23.4,6591.7,2.232,-0.215,27.046,2024-03-13T03:05:21
39,6999,0.9479374094960238,-28.3,6591.7,2.255,-0.211,27.242,2024-03-13T03:05:48
40,6999,0.9466112256024567,-29.9,6591.7,2.275,-0.205,27.001,2024-03-13T03:06:15
41,6999,0.9452868970673731,-30.7,6656.9,2.3,-0.195,27.274,2024-03-13T03:06:42
42,5421,0.9442624779234071,-30.1,6589.6,2.329,-0.185,21.22,2024-03-13T03:07:03
43,5917,0.9431456042658726,-29.6,6488.1,2.356,-0.176,25.526,2024-03-13T03:07:29
44,5926,0.9420283559938561,-28.0,6496.0,2.369,-0.167,23.544,2024-03-13T03:07:52
45,6999,0.9407104389874272,-23.9,6496.0,2.369,-0.157,28.18,2024-03-13T03:08:21
46,6006,0.9395810419893255,-23.7,6396.6,2.365,-0.15,23.663,2024-03-13T03:08:44
47,6999,0.9382665488254218,-21.6,6527.0,2.353,-0.142,26.207,2024-03-13T03:09:11
48,6803,0.9369907176778831,-21.8,6507.3,2.342,-0.134,25.515,2024-03-13T03:09:36
49,5946,0.9358770169556538,-15.9,6401.9,2.321,-0.127,22.121,2024-03-13T03:09:58
50,6999,0.9345677057987996,-14.7,6401.9,2.294,-0.122,28.698,2024-03-13T03:10:27
51,6150,0.9334188007859565,-18.3,6316.9,2.262,-0.119,23.561,2024-03-13T03:10:50
52,6903,0.9321309186779848,-17.9,6465.1,2.225,-0.114,25.741,2024-03-13T03:11:16
