#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,6749,0.9986509107733881,16.0,6750.0,0.0,0.0,4.151,2024-03-12T15:50:27
1,6749,0.9973036415885078,-8.0,6750.0,0.943,0.097,13.222,2024-03-12T15:50:40
2,6749,0.9959581899899687,-12.0,6750.0,1.297,0.126,41.629,2024-03-12T15:51:22
3,6749,0.9946145535256818,-17.0,6750.0,1.434,0.131,52.497,2024-03-12T15:52:14
4,6749,0.9932727297468786,-12.4,6750.0,1.474,0.136,54.016,2024-03-12T15:53:08
5,6749,0.9919327162080759,-6.333,6750.0,1.5,0.14,39.516,2024-03-12T15:53:48
6,6749,0.9905945104671063,-9.0,6750.0,1.515,0.142,50.957,2024-03-12T15:54:39
7,6749,0.9892581100850847,-12.625,6750.0,1.527,0.144,48.666,2024-03-12T15:55:27
8,6749,0.9879235126264275,-12.556,6750.0,1.535,0.144,51.07,2024-03-12T15:56:19
9,6495,0.9866409344067838,-11.1,6724.5,1.542,0.145,46.936,2024-03-12T15:57:05
10,6749,0.9853098677516309,-13.5,6724.5,1.705,0.16,48.543,2024-03-12T15:57:54
11,6749,0.9839805968241634,-13.0,6724.5,1.68,0.157,53.862,2024-03-12T15:58:48
12,6749,0.9826531192017823,-12.4,6724.5,1.641,0.153,27.202,2024-03-12T15:59:15
13,6749,0.9813274324651611,-7.7,6724.5,1.617,0.154,27.53,2024-03-12T15:59:43
14,6749,0.9800035341982305,-8.2,6724.5,1.618,0.155,26.231,2024-03-12T16:00:09
15,6424,0.9787451362257924,-12.2,6691.9,1.619,0.155,26.662,2024-03-12T16:00:35
16,6749,0.977424721706902,-9.9,6691.9,1.622,0.155,26.354,2024-03-12T16:01:02
17,6749,0.976106088545014,-8.8,6691.9,1.622,0.154,24.596,2024-03-12T16:01:26
18,6749,0.9747892343369167,-11.2,6691.9,1.621,0.153,24.926,2024-03-12T16:01:51
19,6749,0.9734741566826446,-12.8,6717.4,1.622,0.151,27.976,2024-03-12T16:02:19
20,6749,0.9721608531854686,-14.6,6717.4,1.623,0.148,26.734,2024-03-12T16:02:46
21,6749,0.9708493214518944,-13.7,6717.4,1.622,0.145,25.794,2024-03-12T16:03:12
22,6749,0.9695395590916478,-11.1,6717.4,1.624,0.143,27.081,2024-03-12T16:03:39
23,6307,0.9683172560071479,-16.4,6673.1,1.628,0.141,25.074,2024-03-12T16:04:04
24,6749,0.9670109096291148,-18.1,6673.1,1.626,0.138,25.308,2024-03-12T16:04:29
25,6749,0.9657063256289032,-19.3,6705.7,1.625,0.136,27.139,2024-03-12T16:04:56
26,6749,0.9644035016289164,-20.0,6705.7,1.624,0.134,27.711,2024-03-12T16:05:24
27,6749,0.9631024352547513,-19.3,6705.7,1.629,0.133,27.085,2024-03-12T16:05:51
28,6749,0.9618031241352125,-16.9,6705.7,1.635,0.131,26.686,2024-03-12T16:06:18
29,6749,0.9605055659023084,-16.3,6705.7,1.642,0.132,26.626,2024-03-12T16:06:45
30,6749,0.9592097581912411,-15.9,6705.7,1.65,0.135,24.452,2024-03-12T16:07:09
31,6749,0.9579156986403897,-14.6,6705.7,1.656,0.138,25.665,2024-03-12T16:07:35
32,5402,0.9568812296493454,-13.4,6570.9,1.664,0.14,19.735,2024-03-12T16:07:54
33,5623,0.9558056302538454,-9.8,6502.5,1.673,0.143,21.914,2024-03-12T16:08:16
34,6749,0.9545161631753335,-8.4,6502.5,1.687,0.148,27.207,2024-03-12T16:08:44
35,6713,0.9532353942962799,-6.8,6498.8,1.704,0.154,26.29,2024-03-12T16:09:10
36,6749,0.9519493946953974,-9.7,6498.8,1.724,0.16,25.463,2024-03-12T16:09:35
37,6749,0.9506651300227257,-10.7,6498.8,1.741,0.165,25.364,2024-03-12T16:10:01
38,6749,0.9493825979376874,-12.7,6498.8,1.754,0.171,27.614,2024-03-12T16:10:28
39,6749,0.9481017961028699,-11.8,6498.8,1.769,0.176,26.764,2024-03-12T16:10:55
40,6749,0.9468227221840082,-12.0,6498.8,1.789,0.18,27.21,2024-03-12T16:11:22
41,6749,0.9455453738499857,-10.7,6498.8,1.813,0.185,28.115,2024-03-12T16:11:50
42,6749,0.9442697487728396,-14.0,6633.6,1.836,0.189,26.465,2024-03-12T16:12:17
43,6749,0.9429958446277362,-12.2,6746.3,1.856,0.193,28.378,2024-03-12T16:12:45
44,6749,0.941723659092998,-16.5,6746.3,1.871,0.194,28.085,2024-03-12T16:13:13
45,6749,0.9404531898500593,-15.3,6750.0,1.88,0.194,25.525,2024-03-12T16:13:39
46,6749,0.9391844345834892,-12.5,6750.0,1.887,0.193,25.132,2024-03-12T16:14:04
47,6749,0.9379173909809777,-13.5,6750.0,1.896,0.193,27.05,2024-03-12T16:14:31
48,6749,0.9366520567333412,-11.5,6750.0,1.905,0.194,27.599,2024-03-12T16:14:59
49,6749,0.9353884295345065,-13.6,6750.0,1.902,0.194,28.65,2024-03-12T16:15:27
50,6749,0.9341265070815095,-9.3,6750.0,1.889,0.193,28.657,2024-03-12T16:15:56
51,6749,0.9328662870745036,-10.9,6750.0,1.874,0.192,29.104,2024-03-12T16:16:25
52,6749,0.9316077672167119,-13.8,6750.0,1.86,0.191,27.02,2024-03-12T16:16:52
53,6749,0.9303509452145208,-14.8,6750.0,1.848,0.19,28.274,2024-03-12T16:17:20
54,5837,0.9292653942459606,-13.3,6658.7,1.839,0.19,25.838,2024-03-12T16:17:46
55,6749,0.9280117323139091,-14.5,6658.7,1.828,0.192,28.054,2024-03-12T16:18:14
56,6749,0.9267597616836694,-16.3,6658.7,1.814,0.193,28.138,2024-03-12T16:18:42
57,6749,0.9255094800735141,-14.1,6658.7,1.795,0.196,26.119,2024-03-12T16:19:08
58,6749,0.9242608852048071,-12.9,6658.7,1.779,0.199,25.747,2024-03-12T16:19:34
59,6749,0.9230139748019903,-13.5,6658.7,1.768,0.203,29.423,2024-03-12T16:20:04
60,6749,0.9217687465925621,-15.2,6658.7,1.766,0.208,28.42,2024-03-12T16:20:32
61,6749,0.9205251983071029,-17.0,6658.7,1.764,0.213,29.149,2024-03-12T16:21:01
62,6749,0.9192833276792317,-16.2,6658.7,1.761,0.217,27.658,2024-03-12T16:21:29
63,6000,0.9181807574327435,-21.0,6583.7,1.755,0.22,23.711,2024-03-12T16:21:53
64,6749,0.916942049664796,-17.2,6675.0,1.75,0.224,27.59,2024-03-12T16:22:20
65,6749,0.9157050130241589,-16.4,6675.0,1.756,0.228,26.111,2024-03-12T16:22:46
66,6749,0.9144696452563212,-13.1,6675.0,1.767,0.232,25.881,2024-03-12T16:23:12
67,6486,0.9132840729146484,-10.9,6648.6,1.783,0.236,28.381,2024-03-12T16:23:41
68,6749,0.9120519712110332,-11.1,6648.6,1.799,0.237,27.862,2024-03-12T16:24:08
69,6749,0.9108215317225499,-11.5,6648.6,1.815,0.239,27.558,2024-03-12T16:24:36
70,6507,0.9096368685271857,-12.1,6624.3,1.829,0.241,25.938,2024-03-12T16:25:02
71,6749,0.9084096872277152,-13.7,6624.3,1.843,0.243,26.43,2024-03-12T16:25:28
72,5613,0.9073903879121707,-10.3,6510.6,1.858,0.244,21.872,2024-03-12T16:25:50
73,6749,0.9061662373154987,-8.0,6585.6,1.877,0.245,27.804,2024-03-12T16:26:18
74,6749,0.9049437382072046,-8.8,6585.6,1.895,0.246,26.448,2024-03-12T16:26:44
75,5837,0.9038878328453035,-10.0,6494.3,1.906,0.247,24.752,2024-03-12T16:27:09
76,6749,0.9026684075079375,-10.5,6494.3,1.91,0.247,27.006,2024-03-12T16:27:36
77,6749,0.9014506272841497,-14.9,6520.7,1.917,0.247,25.403,2024-03-12T16:28:02
78,6749,0.9002344899545485,-15.1,6520.7,1.925,0.246,26.676,2024-03-12T16:28:28
79,5275,0.8992851534077977,-16.1,6373.2,1.937,0.247,20.977,2024-03-12T16:28:49
80,6749,0.8980719374956738,-17.3,6397.5,1.944,0.247,29.015,2024-03-12T16:29:18
81,6749,0.8968603583200676,-14.3,6397.5,1.946,0.248,28.823,2024-03-12T16:29:47
82,6749,0.8956504136728706,-15.4,6511.2,1.94,0.249,26.784,2024-03-12T16:30:14
83,6749,0.8944421013489657,-12.9,6511.2,1.93,0.252,28.24,2024-03-12T16:30:42
84,6749,0.8932354191461969,-16.0,6511.2,1.92,0.254,27.127,2024-03-12T16:31:09
85,6749,0.8920303648653872,-16.4,6602.5,1.911,0.255,25.514,2024-03-12T16:31:35
86,6684,0.8908386062202082,-16.6,6595.9,1.904,0.257,26.833,2024-03-12T16:32:02
87,5712,0.8898214042495495,-10.6,6492.1,1.891,0.259,23.576,2024-03-12T16:32:25
88,6749,0.8886209557794582,-12.9,6492.1,1.875,0.263,27.597,2024-03-12T16:32:53
89,6749,0.8874221268214719,-8.5,6639.6,1.856,0.264,25.728,2024-03-12T16:33:18
