#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,6749,0.9986509107733881,-14.2,6750.0,3.891,1.326,3.617,2024-03-12T10:56:23
1,6749,0.9973036415885078,-14.0,6750.0,4.459,1.046,8.534,2024-03-12T10:56:32
2,6749,0.9959581899899687,-14.1,6750.0,5.358,0.735,30.925,2024-03-12T10:57:03
3,6749,0.9946145535256818,-11.5,6750.0,6.556,0.411,30.612,2024-03-12T10:57:33
4,4644,0.9936910849925844,-10.7,6539.4,7.787,0.086,20.91,2024-03-12T10:57:54
5,6749,0.9923505070552292,-10.7,6539.4,8.904,-0.231,31.473,2024-03-12T10:58:26
6,6587,0.9910439460835806,-13.7,6523.1,10.022,-0.55,30.462,2024-03-12T10:58:56
7,5775,0.9898998520635693,-14.5,6425.6,11.099,-0.865,28.007,2024-03-12T10:59:24
8,6749,0.9885643888377145,-18.8,6425.6,12.178,-1.179,32.498,2024-03-12T10:59:57
9,6749,0.9872307272709195,-15.4,6425.6,13.27,-1.495,32.553,2024-03-12T11:00:29
10,6749,0.9858988649325685,-11.8,6425.6,14.821,-1.667,31.366,2024-03-12T11:01:01
11,6749,0.9845687993953472,-10.2,6425.6,15.368,-1.708,30.434,2024-03-12T11:01:31
12,6749,0.983240528235216,-13.4,6425.6,15.567,-1.715,30.421,2024-03-12T11:02:02
13,6749,0.9819140490313953,-15.4,6425.6,15.45,-1.707,33.192,2024-03-12T11:02:35
14,6749,0.9805893593663761,-18.1,6636.2,15.276,-1.694,30.614,2024-03-12T11:03:05
15,6749,0.979266456825915,-16.5,6636.2,15.198,-1.685,30.62,2024-03-12T11:03:36
16,5939,0.978103876795455,-14.3,6571.4,15.137,-1.677,26.854,2024-03-12T11:04:03
17,6749,0.9767843273927551,-13.9,6668.9,15.116,-1.673,31.145,2024-03-12T11:04:34
18,6749,0.9754665581799356,-13.9,6668.9,15.098,-1.671,30.126,2024-03-12T11:05:04
19,6749,0.9741505667553638,-16.7,6668.9,15.028,-1.663,33.761,2024-03-12T11:05:38
20,6749,0.9728363507206446,-19.3,6668.9,14.909,-1.652,30.334,2024-03-12T11:06:08
21,6749,0.9715239076806217,-20.7,6668.9,14.74,-1.637,32.699,2024-03-12T11:06:41
22,6749,0.9702132352433662,-19.5,6668.9,14.581,-1.623,29.723,2024-03-12T11:07:11
23,6749,0.9689043310201689,-20.4,6668.9,14.417,-1.609,29.794,2024-03-12T11:07:40
24,6749,0.9675971926255612,-18.5,6668.9,14.271,-1.594,30.263,2024-03-12T11:08:11
25,6749,0.9662918176772791,-20.7,6668.9,14.146,-1.582,33.155,2024-03-12T11:08:44
26,6749,0.9649882037962734,-20.3,6750.0,14.014,-1.57,29.723,2024-03-12T11:09:14
27,6749,0.963686348606712,-21.3,6750.0,13.922,-1.561,30.134,2024-03-12T11:09:44
28,6749,0.9623862497359635,-21.1,6750.0,13.841,-1.553,30.244,2024-03-12T11:10:14
29,6749,0.9610879048145925,-22.7,6750.0,13.808,-1.547,31.903,2024-03-12T11:10:46
