#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,6749,0.9986509107733881,-4.0,6750.0,0.0,0.0,3.509,2024-03-12T19:52:08
1,6749,0.9973036415885078,-18.0,6750.0,1.344,-0.332,7.746,2024-03-12T19:52:16
2,6749,0.9959581899899687,-12.0,6750.0,3.757,-0.562,32.986,2024-03-12T19:52:49
3,6749,0.9946145535256818,-4.0,6750.0,5.534,-0.722,36.316,2024-03-12T19:53:25
4,6749,0.9932727297468786,-4.0,6750.0,6.72,-0.802,33.433,2024-03-12T19:53:58
5,6749,0.9919327162080759,-2.833,6750.0,7.5,-0.848,33.203,2024-03-12T19:54:32
6,6749,0.9905945104671063,-6.714,6750.0,7.985,-0.876,32.162,2024-03-12T19:55:04
7,6749,0.9892581100850847,-4.125,6750.0,8.317,-0.893,32.098,2024-03-12T19:55:36
8,6077,0.9880563972817418,-8.111,6675.222,8.582,-0.907,27.426,2024-03-12T19:56:03
9,6749,0.986723421040874,-8.7,6682.7,8.751,-0.912,34.344,2024-03-12T19:56:38
10,6014,0.9855372049717089,-5.9,6609.1,9.763,-1.004,27.728,2024-03-12T19:57:05
11,6194,0.9843169788932203,-7.1,6553.5,10.488,-1.029,27.502,2024-03-12T19:57:33
12,6749,0.9829890474614135,-6.6,6553.5,10.618,-1.018,30.353,2024-03-12T19:58:03
13,6749,0.9816629075275966,-7.6,6553.5,10.513,-0.988,31.438,2024-03-12T19:58:35
14,6749,0.9803385566748738,-7.5,6553.5,10.341,-0.964,31.134,2024-03-12T19:59:06
15,6749,0.9790159924896219,-10.6,6553.5,10.17,-0.944,36.136,2024-03-12T19:59:42
16,6518,0.9777404808999994,-10.2,6530.3,10.051,-0.927,34.795,2024-03-12T20:00:17
17,6749,0.9764214217507857,-14.2,6530.3,9.944,-0.911,33.005,2024-03-12T20:00:50
18,6749,0.9751041421300576,-13.0,6597.6,9.812,-0.892,30.263,2024-03-12T20:01:20
19,6401,0.9738565150740469,-14.2,6562.7,9.703,-0.876,28.092,2024-03-12T20:01:48
20,6749,0.9725426957412833,-19.4,6636.3,9.572,-0.861,30.314,2024-03-12T20:02:18
21,6749,0.9712306488680323,-17.8,6691.9,9.448,-0.843,32.199,2024-03-12T20:02:51
22,6332,0.9700013637995109,-21.1,6650.1,9.32,-0.824,28.136,2024-03-12T20:03:19
23,6749,0.9686927454097959,-24.2,6650.1,9.192,-0.803,29.652,2024-03-12T20:03:48
24,6749,0.9673858924630548,-24.1,6650.1,9.089,-0.785,30.119,2024-03-12T20:04:18
25,6749,0.9660808025775465,-22.1,6650.1,9.007,-0.769,30.557,2024-03-12T20:04:49
26,6749,0.9647774733747384,-21.9,6673.3,8.948,-0.756,32.25,2024-03-12T20:05:21
27,6749,0.9634759024793185,-19.6,6673.3,8.903,-0.746,34.095,2024-03-12T20:05:55
28,6749,0.962176087519172,-18.3,6673.3,8.885,-0.74,32.088,2024-03-12T20:06:27
29,6749,0.9608780261253836,-17.9,6708.2,8.896,-0.737,32.865,2024-03-12T20:07:00
30,6749,0.9595817159322415,-15.2,6708.2,8.946,-0.732,36.154,2024-03-12T20:07:37
31,6749,0.9582871545772098,-16.8,6708.2,9.004,-0.73,33.157,2024-03-12T20:08:10
32,6749,0.9569943397009586,-15.6,6750.0,9.088,-0.733,34.599,2024-03-12T20:08:44
33,6749,0.9557032689473273,-12.3,6750.0,9.178,-0.736,31.934,2024-03-12T20:09:16
34,5629,0.9546278481053916,-15.7,6637.9,9.242,-0.741,28.807,2024-03-12T20:09:45
35,6407,0.9534052759879573,-16.9,6603.6,9.309,-0.746,33.742,2024-03-12T20:10:19
36,6749,0.9521190472015164,-15.5,6603.6,9.355,-0.748,35.725,2024-03-12T20:10:54
37,6749,0.9508345536524746,-17.0,6603.6,9.403,-0.748,32.835,2024-03-12T20:11:27
38,6749,0.9495517929998429,-17.7,6603.6,9.429,-0.749,33.891,2024-03-12T20:12:01
39,6749,0.9482707629057897,-17.0,6603.6,9.439,-0.749,34.6,2024-03-12T20:12:36
40,6749,0.9469914610356341,-18.1,6603.6,9.439,-0.753,33.407,2024-03-12T20:13:09
41,6749,0.9457138850578456,-16.5,6603.6,9.433,-0.754,33.703,2024-03-12T20:13:43
42,6749,0.9444380326440441,-14.3,6603.6,9.414,-0.749,33.13,2024-03-12T20:14:16
43,6749,0.9431639014689829,-16.5,6603.6,9.389,-0.744,36.404,2024-03-12T20:14:52
44,6749,0.9418914892105714,-13.5,6715.7,9.365,-0.738,35.782,2024-03-12T20:15:28
45,6749,0.9406207935498296,-11.6,6750.0,9.333,-0.733,32.778,2024-03-12T20:16:01
46,6749,0.9393518121709146,-13.8,6750.0,9.291,-0.725,34.403,2024-03-12T20:16:35
47,6749,0.9380845427611023,-10.8,6750.0,9.247,-0.716,33.699,2024-03-12T20:17:09
48,6749,0.9368189830107995,-8.4,6750.0,9.24,-0.709,34.723,2024-03-12T20:17:44
49,5860,0.9357215806847878,-9.1,6661.0,9.255,-0.701,31.204,2024-03-12T20:18:15
50,6749,0.9344592087811626,-8.1,6661.0,9.29,-0.694,33.384,2024-03-12T20:18:48
