#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,4659,0.9990685340379032,-36.0,4659.0,0.0,0.0,2.439,2024-03-13T07:03:23
1,6197,0.9978309556763739,-21.0,5428.0,0.0,0.0,3.331,2024-03-13T07:03:27
2,6999,0.9964349696875672,-26.0,5952.0,0.513,0.015,20.335,2024-03-13T07:03:47
3,6432,0.9951538802731401,-22.0,6072.0,0.746,0.025,24.393,2024-03-13T07:04:12
4,6999,0.9937616395677674,-20.8,6257.6,0.877,0.033,28.426,2024-03-13T07:04:40
5,6999,0.9923713466357234,-18.333,6381.333,0.973,0.035,25.551,2024-03-13T07:05:06
6,6999,0.9909829987520308,-17.429,6469.714,1.041,0.037,25.823,2024-03-13T07:05:31
7,6999,0.9895965931955251,-18.75,6536.0,1.093,0.041,25.441,2024-03-13T07:05:57
8,6999,0.9882121272488491,-18.667,6587.556,1.133,0.044,26.665,2024-03-13T07:06:23
9,6999,0.9868295981984596,-17.5,6628.8,1.165,0.048,26.364,2024-03-13T07:06:50
10,6999,0.9854490033345817,-17.1,6862.9,1.313,0.057,26.775,2024-03-13T07:07:17
11,6999,0.9840703399512581,-20.3,6943.2,1.465,0.066,27.092,2024-03-13T07:07:44
12,6999,0.9826936053463051,-17.9,6943.2,1.464,0.07,26.731,2024-03-13T07:08:10
13,6999,0.9813187968213251,-20.6,7000.0,1.474,0.074,28.49,2024-03-13T07:08:39
14,6447,0.9800542016931986,-23.0,6944.7,1.488,0.077,23.81,2024-03-13T07:09:03
15,6999,0.9786830857481067,-25.4,6944.7,1.496,0.081,25.63,2024-03-13T07:09:28
16,6385,0.9774340072863239,-26.0,6883.2,1.505,0.086,23.167,2024-03-13T07:09:52
17,6999,0.9760665570469904,-25.8,6883.2,1.515,0.089,27.181,2024-03-13T07:10:19
18,5468,0.9749996165635203,-24.4,6730.0,1.524,0.093,21.216,2024-03-13T07:10:40
19,6999,0.9736355720867758,-25.3,6730.0,1.535,0.096,24.736,2024-03-13T07:11:05
20,6999,0.9722734359362523,-26.5,6730.0,1.542,0.098,25.028,2024-03-13T07:11:30
21,5832,0.9711399401571031,-25.7,6613.2,1.546,0.102,20.557,2024-03-13T07:11:50
