#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,19.361,29.0,0.0,0.0,0.677,2024-03-13T22:40:37
1,29,0.9970543102074277,19.47,29.0,0.387,0.01,1.039,2024-03-13T22:40:38
2,29,0.9955847208185419,21.481,29.0,0.526,0.024,0.987,2024-03-13T22:40:39
3,29,0.9941172975032088,22.245,29.0,0.577,0.063,1.012,2024-03-13T22:40:40
4,29,0.9926520370687852,22.262,29.0,0.513,0.182,1.005,2024-03-13T22:40:41
5,29,0.9911889363273336,23.45,29.0,0.45,0.293,1.043,2024-03-13T22:40:42
6,29,0.9897279920956147,22.555,29.0,0.394,0.382,1.078,2024-03-13T22:40:43
7,29,0.988269201195083,23.717,29.0,0.349,0.433,1.015,2024-03-13T22:40:44
8,29,0.9868125604518754,25.222,29.0,0.355,0.53,1.075,2024-03-13T22:40:45
9,29,0.9853580666968087,26.258,29.0,0.333,0.681,1.061,2024-03-13T22:40:46
10,29,0.9839057167653699,26.831,29.0,0.345,0.882,1.073,2024-03-13T22:40:48
11,29,0.982455507497711,27.946,29.0,0.273,1.054,1.16,2024-03-13T22:40:49
12,29,0.9810074357386406,27.829,29.0,0.196,1.224,1.088,2024-03-13T22:40:50
13,29,0.9795614983376182,28.336,29.0,0.126,1.384,1.109,2024-03-13T22:40:51
14,29,0.9781176921487479,28.726,29.0,0.104,1.495,1.055,2024-03-13T22:40:52
15,29,0.9766760140307686,28.82,29.0,0.093,1.587,1.127,2024-03-13T22:40:53
16,29,0.9752364608470507,29.799,29.0,0.098,1.673,1.08,2024-03-13T22:40:54
17,29,0.9737990294655869,29.201,29.0,0.127,1.851,1.236,2024-03-13T22:40:55
18,29,0.9723637167589879,27.869,29.0,0.114,1.987,1.126,2024-03-13T22:40:56
19,29,0.9709305196044722,27.253,29.0,0.107,2.058,1.126,2024-03-13T22:40:58
20,28,0.969547911673479,27.676,28.9,0.101,2.127,1.062,2024-03-13T22:40:59
21,29,0.9681188648217428,27.106,28.9,0.1,2.221,1.099,2024-03-13T22:41:00
22,29,0.9666919242866517,26.567,28.9,0.101,2.317,1.209,2024-03-13T22:41:01
23,29,0.9652670869636404,25.689,28.9,0.103,2.405,1.144,2024-03-13T22:41:02
24,29,0.963844349752718,24.99,28.9,0.102,2.49,1.079,2024-03-13T22:41:03
25,29,0.9624237095584646,24.838,28.9,0.102,2.567,1.06,2024-03-13T22:41:04
26,29,0.9610051632900221,24.591,28.9,0.094,2.654,1.117,2024-03-13T22:41:05
27,29,0.9595887078610883,24.358,28.9,0.065,2.654,1.071,2024-03-13T22:41:06
28,29,0.958174340189909,24.877,28.9,0.041,2.663,1.001,2024-03-13T22:41:07
29,29,0.9567620571992734,24.941,28.9,0.039,2.653,1.06,2024-03-13T22:41:09
30,29,0.9553518558165061,24.86,29.0,0.036,2.655,1.085,2024-03-13T22:41:10
31,29,0.9539437329734606,24.951,29.0,0.034,2.636,1.145,2024-03-13T22:41:11
32,29,0.9525376856065122,26.17,29.0,0.034,2.636,1.122,2024-03-13T22:41:12
33,29,0.9511337106565521,27.211,29.0,0.033,2.633,1.089,2024-03-13T22:41:13
34,29,0.9497318050689804,27.577,29.0,0.032,2.621,1.153,2024-03-13T22:41:14
35,29,0.9483319657936989,27.16,29.0,0.032,2.631,1.14,2024-03-13T22:41:15
36,29,0.9469341897851064,26.698,29.0,0.032,2.635,1.116,2024-03-13T22:41:16
37,29,0.9455384740020893,27.646,29.0,0.032,2.647,1.112,2024-03-13T22:41:17
38,29,0.9441448154080181,28.206,29.0,0.033,2.63,1.085,2024-03-13T22:41:19
39,29,0.9427532109707369,28.466,29.0,0.033,2.639,1.088,2024-03-13T22:41:20
40,29,0.9413636576625599,28.664,29.0,0.033,2.615,1.127,2024-03-13T22:41:21
41,29,0.9399761524602647,28.029,29.0,0.037,2.622,1.222,2024-03-13T22:41:22
42,29,0.9385906923450841,27.493,29.0,0.058,2.644,1.103,2024-03-13T22:41:23
43,29,0.9372072743027001,28.309,29.0,0.067,2.712,1.144,2024-03-13T22:41:24
44,29,0.9358258953232392,28.765,29.0,0.07,2.792,1.114,2024-03-13T22:41:25
45,29,0.9344465524012622,28.296,29.0,0.071,2.853,1.18,2024-03-13T22:41:27
46,29,0.9330692425357603,28.527,29.0,0.071,2.914,1.076,2024-03-13T22:41:28
47,29,0.931693962730149,28.421,29.0,0.071,2.989,1.086,2024-03-13T22:41:29
48,29,0.9303207099922591,27.253,29.0,0.072,3.051,1.119,2024-03-13T22:41:30
49,29,0.9289494813343333,25.692,29.0,0.07,3.106,1.033,2024-03-13T22:41:31
50,29,0.9275802737730161,25.33,29.0,0.081,3.185,1.037,2024-03-13T22:41:32
51,29,0.9262130843293508,25.647,29.0,0.095,3.305,1.016,2024-03-13T22:41:33
52,29,0.9248479100287709,24.789,29.0,0.075,3.386,0.973,2024-03-13T22:41:34
53,29,0.9234847479010937,23.751,29.0,0.068,3.446,0.979,2024-03-13T22:41:35
54,29,0.922123594980516,23.779,29.0,0.066,3.481,1.005,2024-03-13T22:41:36
55,27,0.9208565305055004,24.727,28.8,0.065,3.532,1.002,2024-03-13T22:41:37
56,29,0.9194992513963659,25.028,28.8,0.064,3.569,1.016,2024-03-13T22:41:38
57,29,0.9181439728231664,24.664,28.8,0.063,3.599,1.036,2024-03-13T22:41:39
58,29,0.9167906918372494,24.575,28.8,0.064,3.653,1.043,2024-03-13T22:41:40
59,29,0.9154394054943091,27.037,28.8,0.064,3.692,0.992,2024-03-13T22:41:41
60,29,0.914090110854379,26.732,28.8,0.053,3.748,0.987,2024-03-13T22:41:42
61,29,0.9127428049818261,26.41,28.8,0.036,3.748,1.012,2024-03-13T22:41:43
62,29,0.9113974849453438,27.492,28.8,0.033,3.75,1.017,2024-03-13T22:41:44
63,28,0.910099652231746,26.624,28.7,0.029,3.738,0.971,2024-03-13T22:41:45
64,29,0.908758228020391,26.538,28.7,0.028,3.757,1.018,2024-03-13T22:41:46
65,29,0.9074187809759429,25.584,28.9,0.027,3.769,0.994,2024-03-13T22:41:47
66,29,0.9060813081841946,25.584,28.9,0.026,3.78,1.019,2024-03-13T22:41:48
67,29,0.9047458067352332,26.167,28.9,0.026,3.778,1.07,2024-03-13T22:41:49
68,29,0.9034122737234351,27.399,28.9,0.024,3.784,1.148,2024-03-13T22:41:50
69,29,0.9020807062474596,25.971,28.9,0.024,3.814,1.094,2024-03-13T22:41:51
70,29,0.9007511014102428,25.983,28.9,0.024,3.811,1.156,2024-03-13T22:41:52
71,29,0.8994234563189896,27.146,28.9,0.021,3.797,1.02,2024-03-13T22:41:53
72,29,0.8980977680851698,27.762,28.9,0.021,3.808,1.067,2024-03-13T22:41:55
73,29,0.8967740338245107,28.742,29.0,0.02,3.799,1.058,2024-03-13T22:41:56
74,29,0.8954522506569894,28.103,29.0,0.02,3.807,1.027,2024-03-13T22:41:57
75,29,0.8941324157068299,28.579,29.0,0.024,3.794,1.027,2024-03-13T22:41:58
76,29,0.8928145261024931,28.615,29.0,0.039,3.822,0.951,2024-03-13T22:41:59
77,29,0.891498578976674,28.332,29.0,0.046,3.869,1.037,2024-03-13T22:42:00
78,29,0.8901845714662928,26.947,29.0,0.051,3.923,1.011,2024-03-13T22:42:01
79,29,0.8888725007124897,26.999,29.0,0.055,3.952,1.001,2024-03-13T22:42:02
80,29,0.8875623638606192,26.967,29.0,0.057,4.011,1.018,2024-03-13T22:42:03
81,29,0.8862541580602423,27.178,29.0,0.06,4.079,1.077,2024-03-13T22:42:04
82,29,0.8849478804651228,27.107,29.0,0.064,4.118,1.0,2024-03-13T22:42:05
83,29,0.883643528233219,27.847,29.0,0.066,4.179,0.991,2024-03-13T22:42:06
84,29,0.8823410985266777,28.771,29.0,0.071,4.223,0.992,2024-03-13T22:42:07
85,29,0.8810405885118291,28.253,29.0,0.08,4.331,1.079,2024-03-13T22:42:08
86,29,0.8797419953591802,28.214,29.0,0.069,4.401,1.118,2024-03-13T22:42:09
87,29,0.8784453162434073,28.096,29.0,0.062,4.444,1.012,2024-03-13T22:42:10
88,29,0.8771505483433525,29.188,29.0,0.057,4.477,0.999,2024-03-13T22:42:11
89,29,0.8758576888420155,29.917,29.0,0.056,4.522,1.001,2024-03-13T22:42:12
90,29,0.8745667349265478,29.786,29.0,0.056,4.579,1.012,2024-03-13T22:42:13
91,29,0.8732776837882466,28.613,29.0,0.054,4.62,0.99,2024-03-13T22:42:14
92,29,0.8719905326225502,28.188,29.0,0.05,4.672,0.975,2024-03-13T22:42:15
93,29,0.8707052786290295,27.696,29.0,0.048,4.719,1.084,2024-03-13T22:42:16
94,29,0.8694219190113834,27.33,29.0,0.043,4.762,1.041,2024-03-13T22:42:17
95,29,0.8681404509774324,27.331,29.0,0.031,4.765,1.012,2024-03-13T22:42:18
96,29,0.8668608717391125,26.72,29.0,0.028,4.766,0.993,2024-03-13T22:42:19
97,29,0.8655831785124685,26.258,29.0,0.026,4.782,1.017,2024-03-13T22:42:20
98,29,0.8643073685176492,25.54,29.0,0.025,4.802,1.028,2024-03-13T22:42:21
99,29,0.8630334389789012,24.241,29.0,0.022,4.802,1.009,2024-03-13T22:42:22
100,28,0.8618044768097742,23.563,28.9,0.022,4.779,0.961,2024-03-13T22:42:23
101,29,0.860534236361036,23.697,28.9,0.022,4.787,1.038,2024-03-13T22:42:24
102,29,0.8592658681592418,23.462,28.9,0.021,4.789,0.991,2024-03-13T22:42:25
103,29,0.8579993694448281,23.449,28.9,0.021,4.774,1.019,2024-03-13T22:42:26
104,29,0.8567347374622991,24.688,28.9,0.021,4.779,0.98,2024-03-13T22:42:27
105,29,0.855471969460221,25.84,28.9,0.021,4.772,1.061,2024-03-13T22:42:28
106,29,0.8542110626912139,26.434,28.9,0.023,4.778,0.981,2024-03-13T22:42:29
107,29,0.8529520144119492,27.82,28.9,0.023,4.78,1.004,2024-03-13T22:42:30
108,29,0.851694821883141,27.927,28.9,0.023,4.773,1.005,2024-03-13T22:42:31
109,29,0.8504394823695413,27.782,28.9,0.022,4.791,0.992,2024-03-13T22:42:32
110,29,0.8491859931399328,28.125,29.0,0.031,4.827,1.011,2024-03-13T22:42:33
111,28,0.8479767497746284,28.737,28.9,0.039,4.868,1.011,2024-03-13T22:42:34
112,28,0.8467692283754514,28.549,28.8,0.044,4.915,0.997,2024-03-13T22:42:35
113,29,0.8455211488474708,28.235,28.8,0.047,4.982,0.986,2024-03-13T22:42:36
114,29,0.8442749089027615,26.436,28.8,0.048,5.013,1.02,2024-03-13T22:42:37
115,29,0.8430305058299058,26.406,28.8,0.048,5.046,0.993,2024-03-13T22:42:38
116,29,0.8417879369214814,27.026,28.8,0.047,5.078,1.069,2024-03-13T22:42:39
117,29,0.8405471994740553,25.982,28.8,0.048,5.123,0.988,2024-03-13T22:42:40
118,29,0.8393082907881808,25.854,28.8,0.052,5.175,1.02,2024-03-13T22:42:41
119,29,0.8380712081683889,28.349,28.8,0.074,5.268,1.019,2024-03-13T22:42:42
120,29,0.8368359489231841,28.89,28.8,0.069,5.336,1.027,2024-03-13T22:42:43
121,29,0.8356025103650381,28.74,28.9,0.063,5.39,1.011,2024-03-13T22:42:44
122,29,0.834370889810383,31.735,29.0,0.061,5.434,1.026,2024-03-13T22:42:45
123,29,0.8331410845796078,31.626,29.0,0.061,5.493,1.016,2024-03-13T22:42:46
124,29,0.8319130919970487,33.504,29.0,0.063,5.536,1.018,2024-03-13T22:42:47
125,29,0.8306869093909877,33.549,29.0,0.063,5.606,1.043,2024-03-13T22:42:48
126,29,0.8294625340936448,33.202,29.0,0.065,5.676,0.998,2024-03-13T22:42:49
127,28,0.8282813769923447,33.734,28.9,0.065,5.736,0.964,2024-03-13T22:42:50
128,29,0.8270605472840953,33.974,28.9,0.062,5.772,0.999,2024-03-13T22:42:51
129,28,0.8258828106191146,31.83,28.8,0.043,5.765,1.065,2024-03-13T22:42:52
130,26,0.8247892268844085,31.886,28.5,0.04,5.78,0.986,2024-03-13T22:42:53
131,29,0.823573544364923,32.776,28.5,0.042,5.784,1.018,2024-03-13T22:42:54
132,29,0.8223596536777507,29.816,28.5,0.042,5.792,1.103,2024-03-13T22:42:56
133,29,0.8211475521818543,29.282,28.5,0.041,5.778,1.043,2024-03-13T22:42:57
134,29,0.8199372372400883,27.804,28.5,0.042,5.791,1.003,2024-03-13T22:42:58
135,29,0.8187287062191956,27.522,28.5,0.048,5.781,1.003,2024-03-13T22:42:59
