#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,17.553,29.0,0.682,-0.007,2.26,2024-03-13T19:26:25
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
1,29,0.9970543102074277,19.915,29.0,0.666,-0.003,5.881,2024-03-13T19:26:31
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
2,29,0.9955847208185419,22.633,29.0,0.731,-0.004,1.922,2024-03-13T19:26:33
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
3,29,0.9941172975032088,22.487,29.0,0.775,-0.005,1.982,2024-03-13T19:26:35
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
4,29,0.9926520370687852,22.604,29.0,0.802,-0.007,1.882,2024-03-13T19:26:37
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
5,29,0.9911889363273336,23.809,29.0,0.822,-0.007,1.804,2024-03-13T19:26:39
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
6,29,0.9897279920956147,23.075,29.0,0.847,-0.008,1.892,2024-03-13T19:26:41
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
7,29,0.988269201195083,24.045,29.0,0.863,-0.008,1.808,2024-03-13T19:26:43
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
8,29,0.9868125604518754,24.293,29.0,0.882,-0.008,1.682,2024-03-13T19:26:44
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
9,29,0.9853580666968087,24.461,29.0,0.899,-0.009,2.13,2024-03-13T19:26:46
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
10,29,0.9839057167653699,25.341,29.0,0.935,-0.009,1.922,2024-03-13T19:26:48
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
11,29,0.982455507497711,26.186,29.0,0.98,-0.011,1.93,2024-03-13T19:26:50
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
12,29,0.9810074357386406,25.629,29.0,1.002,-0.011,2.338,2024-03-13T19:26:53
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
13,29,0.9795614983376182,25.281,29.0,1.019,-0.011,1.848,2024-03-13T19:26:54
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
14,29,0.9781176921487479,26.271,29.0,1.038,-0.011,1.855,2024-03-13T19:26:56
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
15,29,0.9766760140307686,26.168,29.0,1.06,-0.011,1.832,2024-03-13T19:26:58
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
16,29,0.9752364608470507,26.183,29.0,1.069,-0.011,2.206,2024-03-13T19:27:00
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
17,29,0.9737990294655869,25.035,29.0,1.082,-0.011,1.871,2024-03-13T19:27:02
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
18,29,0.9723637167589879,24.833,29.0,1.084,-0.011,1.734,2024-03-13T19:27:04
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
19,29,0.9709305196044722,24.692,29.0,1.083,-0.011,1.806,2024-03-13T19:27:06
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
20,29,0.9694994348838627,24.785,29.0,1.09,-0.011,1.967,2024-03-13T19:27:08
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
21,29,0.9680704594835758,24.354,29.0,1.084,-0.01,1.844,2024-03-13T19:27:10
#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
22,29,0.9666435902946198,25.815,29.0,1.085,-0.01,1.861,2024-03-13T19:27:11
