#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,20.622,29.0,0.0,0.0,0.586,2024-03-12T21:35:01
1,29,0.9970543102074277,20.723,29.0,0.242,-0.012,1.03,2024-03-12T21:35:02
2,29,0.9955847208185419,22.786,29.0,0.357,0.009,1.014,2024-03-12T21:35:03
3,29,0.9941172975032088,25.753,29.0,0.479,0.059,1.021,2024-03-12T21:35:04
4,29,0.9926520370687852,25.197,29.0,0.443,0.191,1.0,2024-03-12T21:35:05
5,29,0.9911889363273336,25.837,29.0,0.393,0.299,0.979,2024-03-12T21:35:06
6,29,0.9897279920956147,25.777,29.0,0.35,0.384,0.957,2024-03-12T21:35:07
7,29,0.988269201195083,25.301,29.0,0.315,0.446,0.97,2024-03-12T21:35:08
8,29,0.9868125604518754,25.109,29.0,0.301,0.529,0.929,2024-03-12T21:35:09
9,29,0.9853580666968087,25.302,29.0,0.279,0.634,0.914,2024-03-12T21:35:10
10,29,0.9839057167653699,26.145,29.0,0.284,0.798,0.953,2024-03-12T21:35:11
11,29,0.982455507497711,26.3,29.0,0.24,0.961,0.961,2024-03-12T21:35:12
12,29,0.9810074357386406,25.92,29.0,0.185,1.116,1.006,2024-03-12T21:35:13
13,29,0.9795614983376182,26.0,29.0,0.104,1.258,0.974,2024-03-12T21:35:14
14,28,0.9781665998673872,27.89,28.9,0.079,1.353,0.887,2024-03-12T21:35:15
15,29,0.9767248496627989,27.063,28.9,0.069,1.435,0.945,2024-03-12T21:35:16
16,29,0.9752852244987225,26.319,28.9,0.064,1.513,0.939,2024-03-12T21:35:16
17,29,0.9738477212429943,27.565,28.9,0.077,1.658,0.997,2024-03-12T21:35:17
18,29,0.9724123367680687,26.787,28.9,0.064,1.78,0.938,2024-03-12T21:35:18
19,29,0.970979067951008,26.763,28.9,0.061,1.859,0.979,2024-03-12T21:35:19
20,29,0.969547911673479,26.176,28.9,0.058,1.931,1.011,2024-03-12T21:35:20
21,29,0.9681188648217428,25.877,28.9,0.057,2.006,0.947,2024-03-12T21:35:21
22,29,0.9666919242866517,25.56,28.9,0.056,2.073,0.995,2024-03-12T21:35:22
23,29,0.9652670869636404,24.245,28.9,0.056,2.138,1.035,2024-03-12T21:35:23
24,29,0.963844349752718,21.912,29.0,0.054,2.205,1.006,2024-03-12T21:35:24
25,29,0.9624237095584646,22.362,29.0,0.052,2.267,0.964,2024-03-12T21:35:25
26,29,0.9610051632900221,24.199,29.0,0.049,2.326,0.937,2024-03-12T21:35:26
27,29,0.9595887078610883,23.26,29.0,0.032,2.324,0.974,2024-03-12T21:35:27
28,29,0.958174340189909,24.003,29.0,0.028,2.316,0.953,2024-03-12T21:35:28
29,29,0.9567620571992734,24.847,29.0,0.026,2.312,0.933,2024-03-12T21:35:29
30,29,0.9553518558165061,25.479,29.0,0.025,2.311,0.956,2024-03-12T21:35:30
31,29,0.9539437329734606,26.182,29.0,0.024,2.311,0.931,2024-03-12T21:35:31
32,29,0.9525376856065122,27.209,29.0,0.023,2.315,0.949,2024-03-12T21:35:32
33,29,0.9511337106565521,28.327,29.0,0.022,2.32,0.926,2024-03-12T21:35:33
34,29,0.9497318050689804,30.128,29.0,0.022,2.324,0.921,2024-03-12T21:35:34
35,29,0.9483319657936989,31.285,29.0,0.022,2.338,0.913,2024-03-12T21:35:35
36,29,0.9469341897851064,30.266,29.0,0.022,2.352,1.028,2024-03-12T21:35:36
37,28,0.9455857526987332,30.116,28.9,0.021,2.359,0.997,2024-03-12T21:35:37
38,29,0.9441920244191191,30.886,28.9,0.021,2.37,0.989,2024-03-12T21:35:38
39,29,0.9428003503990068,29.45,28.9,0.021,2.381,1.098,2024-03-12T21:35:39
40,29,0.9414107276105589,29.3,28.9,0.02,2.387,1.07,2024-03-12T21:35:40
41,28,0.9400701559506557,30.611,28.8,0.02,2.395,1.019,2024-03-12T21:35:41
42,29,0.9386845572808039,30.766,28.8,0.031,2.435,1.036,2024-03-12T21:35:42
43,29,0.937301000887969,29.604,28.8,0.035,2.505,1.035,2024-03-12T21:35:43
44,29,0.9359194837619761,28.256,28.8,0.036,2.572,0.955,2024-03-12T21:35:44
45,28,0.9345867316495513,27.153,28.7,0.037,2.635,0.974,2024-03-12T21:35:45
46,29,0.9332092151694912,26.828,28.7,0.038,2.692,0.923,2024-03-12T21:35:46
47,29,0.9318337290538573,26.642,28.8,0.038,2.756,1.149,2024-03-12T21:35:47
48,29,0.9304602703100316,27.159,28.8,0.039,2.813,0.936,2024-03-12T21:35:48
49,29,0.9290888359498085,27.264,28.8,0.039,2.877,0.932,2024-03-12T21:35:49
50,29,0.9277194229893851,27.491,28.8,0.042,2.943,0.951,2024-03-12T21:35:50
51,29,0.9263520284493576,25.038,28.9,0.051,3.066,0.938,2024-03-12T21:35:51
52,29,0.9249866493547135,24.488,28.9,0.044,3.163,0.94,2024-03-12T21:35:52
