#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,29.922,29.0,0.0,0.0,0.626,2024-03-13T21:34:25
1,29,0.9970543102074277,26.895,29.0,0.211,0.011,0.987,2024-03-13T21:34:26
2,29,0.9955847208185419,27.822,29.0,0.472,0.019,1.15,2024-03-13T21:34:27
3,29,0.9941172975032088,26.395,29.0,0.551,0.026,1.087,2024-03-13T21:34:28
4,29,0.9926520370687852,26.227,29.0,0.565,0.04,1.175,2024-03-13T21:34:29
5,29,0.9911889363273336,25.745,29.0,0.502,0.072,1.025,2024-03-13T21:34:30
6,29,0.9897279920956147,25.786,29.0,0.445,0.087,1.108,2024-03-13T21:34:31
7,29,0.988269201195083,24.885,29.0,0.395,0.095,1.071,2024-03-13T21:34:33
8,29,0.9868125604518754,25.487,29.0,0.354,0.099,1.125,2024-03-13T21:34:34
9,29,0.9853580666968087,25.49,29.0,0.323,0.101,1.161,2024-03-13T21:34:35
10,29,0.9839057167653699,24.897,29.0,0.325,0.111,1.157,2024-03-13T21:34:36
11,29,0.982455507497711,24.838,29.0,0.284,0.119,1.27,2024-03-13T21:34:37
12,29,0.9810074357386406,24.443,29.0,0.187,0.124,1.11,2024-03-13T21:34:38
13,29,0.9795614983376182,24.306,29.0,0.109,0.128,1.124,2024-03-13T21:34:39
14,29,0.9781176921487479,23.755,29.0,0.048,0.128,1.037,2024-03-13T21:34:41
15,29,0.9766760140307686,23.316,29.0,0.029,0.113,1.13,2024-03-13T21:34:42
16,29,0.9752364608470507,22.604,29.0,0.02,0.104,1.042,2024-03-13T21:34:43
17,29,0.9737990294655869,23.589,29.0,0.016,0.097,1.044,2024-03-13T21:34:44
18,29,0.9723637167589879,23.154,29.0,0.014,0.092,1.055,2024-03-13T21:34:45
19,29,0.9709305196044722,22.727,29.0,0.011,0.088,1.074,2024-03-13T21:34:46
20,29,0.9694994348838627,23.734,29.0,0.009,0.086,1.097,2024-03-13T21:34:47
21,29,0.9680704594835758,24.16,29.0,0.008,0.083,1.061,2024-03-13T21:34:48
22,29,0.9666435902946198,23.846,29.0,0.007,0.081,1.042,2024-03-13T21:34:49
23,29,0.965218824212584,24.132,29.0,0.007,0.081,1.141,2024-03-13T21:34:50
24,29,0.963796158137633,24.133,29.0,0.006,0.079,1.024,2024-03-13T21:34:51
25,29,0.9623755889745014,24.774,29.0,0.006,0.079,1.171,2024-03-13T21:34:52
26,29,0.9609571136324857,25.888,29.0,0.007,0.079,1.179,2024-03-13T21:34:54
27,29,0.9595407290254381,25.684,29.0,0.008,0.079,1.296,2024-03-13T21:34:55
28,29,0.9581264320717584,26.126,29.0,0.008,0.08,1.23,2024-03-13T21:34:56
29,29,0.9567142196943896,26.852,29.0,0.008,0.08,1.088,2024-03-13T21:34:57
30,29,0.95530408882081,25.772,29.0,0.008,0.081,1.068,2024-03-13T21:34:58
31,29,0.9538960363830267,25.074,29.0,0.009,0.082,1.081,2024-03-13T21:34:59
32,28,0.9525376856065122,25.71,28.9,0.009,0.084,1.122,2024-03-13T21:35:00
