#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,25.388,29.0,0.0,0.0,0.606,2024-03-13T20:22:32
1,29,0.9970543102074277,24.833,29.0,0.281,0.009,1.549,2024-03-13T20:22:34
2,29,0.9955847208185419,27.193,29.0,0.559,0.013,0.991,2024-03-13T20:22:35
3,29,0.9941172975032088,27.243,29.0,0.587,0.033,1.055,2024-03-13T20:22:36
4,29,0.9926520370687852,27.693,29.0,0.531,0.063,1.097,2024-03-13T20:22:37
5,29,0.9911889363273336,25.955,29.0,0.469,0.078,1.127,2024-03-13T20:22:38
6,29,0.9897279920956147,25.746,29.0,0.411,0.088,1.112,2024-03-13T20:22:39
7,29,0.988269201195083,25.512,29.0,0.364,0.093,0.98,2024-03-13T20:22:40
8,29,0.9868125604518754,25.122,29.0,0.328,0.095,0.989,2024-03-13T20:22:41
9,29,0.9853580666968087,25.496,29.0,0.299,0.095,0.971,2024-03-13T20:22:42
10,29,0.9839057167653699,25.71,29.0,0.302,0.104,0.93,2024-03-13T20:22:43
11,29,0.982455507497711,26.196,29.0,0.248,0.11,0.953,2024-03-13T20:22:44
12,29,0.9810074357386406,27.473,29.0,0.14,0.117,0.998,2024-03-13T20:22:45
13,29,0.9795614983376182,26.951,29.0,0.075,0.115,1.192,2024-03-13T20:22:46
14,29,0.9781176921487479,26.501,29.0,0.046,0.104,1.143,2024-03-13T20:22:47
15,29,0.9766760140307686,27.804,29.0,0.032,0.096,1.111,2024-03-13T20:22:48
16,29,0.9752364608470507,27.53,29.0,0.027,0.09,1.151,2024-03-13T20:22:50
17,29,0.9737990294655869,27.939,29.0,0.025,0.084,1.127,2024-03-13T20:22:51
18,28,0.9724123367680687,27.905,28.9,0.022,0.081,1.119,2024-03-13T20:22:52
19,29,0.970979067951008,27.457,28.9,0.019,0.079,1.088,2024-03-13T20:22:53
20,28,0.9695963908870256,26.658,28.8,0.016,0.077,1.184,2024-03-13T20:22:54
21,29,0.9681672725802674,25.737,28.8,0.015,0.076,1.286,2024-03-13T20:22:55
22,29,0.9667402606954739,23.526,28.8,0.012,0.075,1.127,2024-03-13T20:22:56
23,29,0.9653153521279247,24.106,28.8,0.011,0.075,1.052,2024-03-13T20:22:58
24,29,0.9638925437774742,24.341,28.8,0.01,0.074,1.083,2024-03-13T20:22:59
25,29,0.9624718325485472,23.662,28.8,0.009,0.074,1.034,2024-03-13T20:23:00
26,29,0.9610532153501314,23.587,28.8,0.008,0.073,1.0,2024-03-13T20:23:01
27,28,0.9596846727296039,23.227,28.7,0.007,0.073,1.022,2024-03-13T20:23:02
28,28,0.9583180789178144,24.442,28.7,0.007,0.073,1.0,2024-03-13T20:23:03
29,29,0.9569055840661929,24.187,28.7,0.007,0.073,1.054,2024-03-13T20:23:04
30,28,0.955542947684878,24.365,28.7,0.007,0.074,0.97,2024-03-13T20:23:05
