#Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,29,0.9985260688672216,28.61,29.0,0.0,0.0,0.557,2024-03-12T20:34:26
1,29,0.9970543102074277,24.886,29.0,0.136,-0.004,0.943,2024-03-12T20:34:27
2,29,0.9955847208185419,27.06,29.0,0.443,0.008,0.905,2024-03-12T20:34:28
3,29,0.9941172975032088,25.531,29.0,0.554,0.056,0.912,2024-03-12T20:34:29
4,29,0.9926520370687852,25.959,29.0,0.653,0.353,0.902,2024-03-12T20:34:30
5,29,0.9911889363273336,25.091,29.0,0.786,0.831,0.92,2024-03-12T20:34:31
6,29,0.9897279920956147,24.654,29.0,0.844,1.234,0.897,2024-03-12T20:34:32
7,29,0.988269201195083,24.827,29.0,0.846,1.722,0.942,2024-03-12T20:34:32
8,29,0.9868125604518754,25.452,29.0,0.855,2.374,0.91,2024-03-12T20:34:33
9,29,0.9853580666968087,25.794,29.0,0.822,2.818,0.903,2024-03-12T20:34:34
10,29,0.9839057167653699,25.255,29.0,0.859,3.556,0.897,2024-03-12T20:34:35
11,29,0.982455507497711,25.37,29.0,0.869,4.314,0.861,2024-03-12T20:34:36
12,29,0.9810074357386406,24.571,29.0,0.781,5.069,0.876,2024-03-12T20:34:37
13,29,0.9795614983376182,24.876,29.0,0.703,5.841,0.869,2024-03-12T20:34:38
14,29,0.9781176921487479,23.784,29.0,0.608,6.474,0.967,2024-03-12T20:34:39
15,29,0.9766760140307686,24.693,29.0,0.475,6.936,0.917,2024-03-12T20:34:40
16,29,0.9752364608470507,24.3,29.0,0.365,7.34,0.839,2024-03-12T20:34:41
17,29,0.9737990294655869,23.735,29.0,0.29,7.614,0.931,2024-03-12T20:34:41
18,29,0.9723637167589879,23.443,29.0,0.209,7.644,0.934,2024-03-12T20:34:42
19,29,0.9709305196044722,22.914,29.0,0.167,7.752,0.916,2024-03-12T20:34:43
20,29,0.9694994348838627,22.659,29.0,0.147,7.786,0.911,2024-03-12T20:34:44
21,29,0.9680704594835758,22.733,29.0,0.125,7.797,0.938,2024-03-12T20:34:45
22,29,0.9666435902946198,22.588,29.0,0.119,7.819,0.874,2024-03-12T20:34:46
